"66","1533 Main Street, Tuba City, AZ, 86045","Match","Exact","1533 MAIN ST, TUBA CITY, AZ, 86045","-111.23986,36.12987","189040242","L","04","005","945200","2000"
"67"," Main Street, Chinle, AZ, 86503","No_Match"
"68"," , Kayenta, AZ, 86033","No_Match"
"69","5299 Window Rock Boulevard, Window Rock, AZ, 86515","No_Match"
"Number","Street Address, City, State, Zip Code","No_Match"
"70","2931 North Stone Avenue, Tucson, AZ, 85705","Match","Exact","2931 N STONE AVE, TUCSON, AZ, 85705","-110.972015,32.26026","638279761","L","04","019","001304","1000"
"71","2445 North Oracle Road, Tucson, AZ, 85705","Match","Exact","2445 N ORACLE RD, TUCSON, AZ, 85705","-110.97818,32.25228","639448657","L","04","019","001303","3004"
"72","3235 North Stone Avenue, Tucson, AZ, 85705","Match","Exact","3235 N STONE AVE, TUCSON, AZ, 85705","-110.97206,32.265778","638279709","L","04","019","002604","2005"
"73","2846 East Roosevelt Street, Phoenix, AZ, 85008","Match","Exact","2846 E ROOSEVELT ST, PHOENIX, AZ, 85008","-112.02004,33.45857","638051048","L","04","013","113501","1016"
"74","1270 West Silverlake Road, Tucson, AZ, 85713","Match","Exact","1270 W SILVERLAKE RD, TUCSON, AZ, 85713","-110.991974,32.19951","121171684","R","04","019","002501","4013"
"75","1249 North Well Road, Ajo, AZ, 85321","Match","Exact","1249 N WELL RD, AJO, AZ, 85321","-112.85673,32.382763","624444765","L","04","019","470400","3033"
"76","2225 East Ajo Way, Tucson, AZ, 85713","Match","Exact","2225 E AJO WAY, TUCSON, AZ, 85713","-110.940475,32.17791","121176202","L","04","019","002100","1025"
"77","1801 South Mission Road, Tucson, AZ, 85713","Match","Exact","1801 S MISSION RD, TUCSON, AZ, 85713","-110.99609,32.20043","641068711","L","04","019","002501","4010"
"78","971 North Pinal Parkway Avenue, Florence, AZ, 85132","No_Match"
"79","1410 East Diversion Dam Road, Florence, AZ, 85132","Match","Exact","1410 E DIVERSION DAM RD, FLORENCE, AZ, 85132","-111.371445,33.03845","629115232","R","04","021","000901","2007"
"100","1109 West Arizona Avenue, Parker, AZ, 85344","Match","Exact","1109 W ARIZONA AVE, PARKER, AZ, 85344","-114.2904,34.146034","129726619","R","04","012","940200","1105"
"80","1750 East Arica Road, Eloy, AZ, 85131","Match","Exact","1750 E ARICA RD, ELOY, AZ, 85131","-111.52168,32.80695","638409442","R","04","021","002002","2000"
"81","2420 East Roosevelt Street, Phoenix, AZ, 85008","Match","Exact","2420 E ROOSEVELT ST, PHOENIX, AZ, 85008","-112.029274,33.458584","638051088","L","04","013","113501","1013"
"82","1250 East Arica Road, Eloy, AZ, 85131","Match","Exact","1250 E ARICA RD, ELOY, AZ, 85131","-111.55398,32.80682","129298654","L","04","021","002002","1017"
"83","3213 North Longmore Road, Scottsdale, AZ, 85256","Match","Exact","3213 N LONGMORE RD, SCOTTSDALE, AZ, 85256","-111.86535,33.48341","128967831","R","04","013","941300","1119"
"84"," Arizona 170, San Carlos, AZ, 85550","No_Match"
"85","406 N Avenue D, San Luis, AZ, 85349","Match","Exact","406 AVE D, SAN LUIS, AZ, 85349","-114.683525,32.48471","638277186","L","04","027","980005","1007"
"86","2160 North Congress Drive, Nogales, AZ, 85621","Match","Exact","2160 N CONGRESS DR, NOGALES, AZ, 85621","-110.94042,31.369741","120861475","R","04","023","966200","3013"
"87","1840 South Lewis, Mesa, AZ, 85210","Match","Exact","1840 S LEWIS, MESA, AZ, 85210","-111.82838,33.38154","642658381","L","04","013","422301","3049"
